date, time, player, good cuts, bad cuts, difficuly, score, FC, no fail, dissappearing, ghost, faster, JR
Sep 07, 08:34, BIT, 540, 2, Expert, 445864, False, False, False, False, False, False
Sep 10, 01:44, QT, 539, 3, Expert, 442005, False, False, False, False, False, False
Sep 10, 05:05, MAEVE, 527, 15, Expert, 423941, False, False, False, False, True, False
Sep 10, 04:41, KEN, 377, 3, Hard, 310277, False, False, False, False, False, True
Sep 03, 05:59, YCE, 378, 2, Hard, 306145, False, False, False, False, False, False
Sep 10, 11:39, HASH, 379, 1, Hard, 305407, False, False, False, False, False, True
Sep 07, 06:02, MINGMING, 378, 2, Hard, 302617, False, False, False, False, False, False
Sep 10, 04:45, VIGO, 376, 4, Hard, 291539, False, False, False, False, False, True
Sep 06, 04:00, ELI, 532, 10, Expert, 205678, False, True, False, False, False, False
Sep 07, 01:04, AJ, 374, 6, Hard, 133163, False, True, False, False, False, False
Sep 09, 01:28, YNNARA, 199, 0, Easy, 109853, True, False, False, False, False, True
Sep 10, 06:15, JAMES, 353, 27, Hard, 99886, False, True, False, False, False, False
Sep 08, 06:04, HATON, 260, 26, Normal, 73687, False, True, False, False, False, True
Sep 07, 12:38, DIV, 233, 53, Normal, 42342, False, True, False, False, False, True
Sep 07, 12:10, YASH, 236, 50, Normal, 41652, False, True, False, False, False, True
Sep 07, 12:24, JAMILAV, 187, 12, Easy, 34072, False, True, False, False, False, True
Sep 08, 07:16, ZANDER , 212, 74, Normal, 32538, False, True, False, False, False, False
Sep 07, 01:00, EIZEN, 181, 18, Easy, 30118, False, True, False, False, False, True
Sep 07, 12:17, ASHLEY, 199, 87, Normal, 24137, False, True, False, False, False, True
Sep 07, 12:21, AVRILLE, 191, 95, Normal, 13640, False, True, False, False, False, True
